LeId,comment,Designator,Footprint,Pins,Quantité,
2,100nF,"C1,C2",805,2,2,
6,BC818-40,Q1,SOT-23,3,1,NPN transistor
7,10K,R1,805,2,1,
8,30K,R2,805,2,1,
9,470,"R3,R7,R5,R8,R6,R4",805,2,6,
10,1K,"R9,R10,R12",805,2,3,
11,510,R11,805,2,1,
14,MAX7219CWG,U1,SOIC-24W_7.5x15.4mm_Pitch1.27mm,24,1,led driver
15,"LED, red","D2,D4",LED_0805,2,2,
16,ATMEGA8-16AU,U2,TQFP-32_7x7mm_Pitch0.8mm,32,1,CPU
17,PC817,U3,DIP-4_W7.62mm_SMD,4,1,
18,LD1117S50TR,U4,SOT-223-3Lead_TabPin2,4,1,
21,47u,"C3,C4",CP_Elec_6.3x5.3,2,2,
22,Diode 1N4148W,"D1,D3",D_SOD-123,2,2,Diode
23,USB_OTG,J6,USB_Micro-B,5,1,
25,16MHz,Y1,Resonator_SMD-3pin_3213,3,1,
